project_id,project_name,project_type,total_value,cofinancing_value,regions,beneficiary_name,currency,country,years
1,Budowa II linii metra wraz z zakupem taboru – etap III,['transport'],3164923952.0,1989344928.0,['mazowieckie'],MIASTO STOŁECZNE WARSZAWA,PLN,Poland,2014-2020
2,"Budowa II linii metra, wraz z infrastrukturą towarzyszącą i zakupem taboru – etap II",['transport'],2925494960.0,1845698086.0,['mazowieckie'],MIASTO STOŁECZNE WARSZAWA,PLN,Poland,2014-2020
3,"Modernizacja toru wodnego Świnoujście - Szczecin do głębokości 12,5 m",['transport'],1963749434.0,1557322494.0,['zachodniopomorskie'],URZĄD MORSKI W SZCZECINIE,PLN,Poland,2014-2020
4,Budowa drogi ekspresowej S3 odc. Legnica - Lubawka,['transport'],3648938542.0,1371065001.0,['dolnośląskie'],GENERALNA DYREKCJA DRÓG KRAJOWYCH I AUTOSTRAD,PLN,Poland,2014-2020
5,Budowa infrastruktury systemu ERTMS/GSM-R na liniach kolejowych PKP Polskie Linie Kolejowe S.A. w ramach NPW ERTMS faza I,['transport'],3055538799.0,1288147779.0,['projekt ogólnopolski'],PKP POLSKIE LINIE KOLEJOWE S.A.,PLN,Poland,2014-2020
6,"Budowa drogi ekspresowej S7, odc. Lubień - Rabka",['transport'],2562392135.0,1274013481.0,['małopolskie'],GENERALNA DYREKCJA DRÓG KRAJOWYCH I AUTOSTRAD,PLN,Poland,2014-2020
7,"Udrożnienie Łódzkiego Węzła Kolejowego (TEN-T), etap II, odcinek Łódź Fabryczna – Łódź Kaliska/Łódź Żabieniec - Faza I",['transport'],2214414291.0,994819783.0,['łódzkie'],PKP POLSKIE LINIE KOLEJOWE S.A.,PLN,Poland,2014-2020
8,Usprawnienie połączenia komunikacyjnego pomiędzy wyspami Uznam i Wolin w Świnoujściu – budowa tunelu pod Świną,['transport'],905465032.3,768895441.6,['zachodniopomorskie'],GMINA MIASTO ŚWINOUJŚCIE,PLN,Poland,2014-2020
9,"Wdrożenie instrumentów finansowych w ramach osi priorytetowej I ""Powszechny dostęp do szybkiego internetu” Programu Operacyjnego Polska Cyfrowa na lata 2014-2020",['Other'],756432075.4,716686359.2,['projekt ogólnopolski'],BANK GOSPODARSTWA KRAJOWEGO,PLN,Poland,2014-2020
10,Modernizacja układu falochronów osłonowych w Porcie Północnym w Gdańsku,['transport'],803509617.7,675042374.1,['pomorskie'],URZĄD MORSKI W GDYNI,PLN,Poland,2014-2020
